concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
Validar solicitud,start,19019,2016-02-03 16:54:00+00:00,Validar solicitud,19019,81801,Variant 15,15,Fluxicon Disco
Validar solicitud,complete,19019,2016-02-03 16:54:00+00:00,Validar solicitud,19019,81801,Variant 15,15,Fluxicon Disco
Traer informacion estudiante - banner,start,8997,2016-02-03 16:22:13+00:00,Traer informacion estudiante - banner,8997,81802,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,complete,8997,2016-02-03 16:22:13+00:00,Traer informacion estudiante - banner,8997,81802,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:22:14+00:00,Radicar Solicitud Homologacion,8997,81802,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8997,2016-02-03 16:22:19+00:00,Radicar Solicitud Homologacion,8997,81802,Variant 2,2,Fluxicon Disco
Validar solicitud,start,387,2016-02-03 16:27:40+00:00,Validar solicitud,387,81802,Variant 2,2,Fluxicon Disco
Validar solicitud,complete,387,2016-02-03 16:29:03+00:00,Validar solicitud,387,81802,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,start,1007,2016-02-03 17:51:35+00:00,Homologacion por grupo de cursos,1007,81802,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,complete,1007,2016-02-04 02:39:09+00:00,Homologacion por grupo de cursos,1007,81802,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,start,8997,2016-02-03 16:29:30+00:00,Traer informacion estudiante - banner,8997,81803,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,complete,8997,2016-02-03 16:29:30+00:00,Traer informacion estudiante - banner,8997,81803,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:29:31+00:00,Radicar Solicitud Homologacion,8997,81803,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8997,2016-02-03 16:29:38+00:00,Radicar Solicitud Homologacion,8997,81803,Variant 2,2,Fluxicon Disco
Validar solicitud,start,387,2016-02-03 16:36:58+00:00,Validar solicitud,387,81803,Variant 2,2,Fluxicon Disco
Validar solicitud,complete,387,2016-02-03 16:38:13+00:00,Validar solicitud,387,81803,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,start,22491,2016-02-03 17:52:29+00:00,Homologacion por grupo de cursos,22491,81803,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,complete,22491,2016-02-03 20:57:36+00:00,Homologacion por grupo de cursos,22491,81803,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,start,8997,2016-02-03 16:39:44+00:00,Traer informacion estudiante - banner,8997,81804,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,complete,8997,2016-02-03 16:39:44+00:00,Traer informacion estudiante - banner,8997,81804,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:39:45+00:00,Radicar Solicitud Homologacion,8997,81804,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8997,2016-02-03 16:39:54+00:00,Radicar Solicitud Homologacion,8997,81804,Variant 2,2,Fluxicon Disco
Validar solicitud,start,387,2016-02-03 16:49:16+00:00,Validar solicitud,387,81804,Variant 2,2,Fluxicon Disco
Validar solicitud,complete,387,2016-02-03 16:50:19+00:00,Validar solicitud,387,81804,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,start,1007,2016-02-03 17:52:59+00:00,Homologacion por grupo de cursos,1007,81804,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,complete,1007,2016-02-03 18:12:02+00:00,Homologacion por grupo de cursos,1007,81804,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,start,8997,2016-02-03 16:54:27+00:00,Traer informacion estudiante - banner,8997,81805,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,complete,8997,2016-02-03 16:54:27+00:00,Traer informacion estudiante - banner,8997,81805,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:54:28+00:00,Radicar Solicitud Homologacion,8997,81805,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8997,2016-02-03 16:54:32+00:00,Radicar Solicitud Homologacion,8997,81805,Variant 2,2,Fluxicon Disco
Validar solicitud,start,387,2016-02-03 16:58:47+00:00,Validar solicitud,387,81805,Variant 2,2,Fluxicon Disco
Validar solicitud,complete,387,2016-02-03 16:59:42+00:00,Validar solicitud,387,81805,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,start,1007,2016-02-03 17:54:40+00:00,Homologacion por grupo de cursos,1007,81805,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,complete,1007,2016-02-03 18:13:43+00:00,Homologacion por grupo de cursos,1007,81805,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,start,955,2016-02-03 14:24:22+00:00,Traer informacion estudiante - banner,955,81851,Variant 1,1,Fluxicon Disco
Traer informacion estudiante - banner,complete,955,2016-02-03 14:24:22+00:00,Traer informacion estudiante - banner,955,81851,Variant 1,1,Fluxicon Disco
Radicar Solicitud Homologacion,start,955,2016-02-03 14:24:26+00:00,Radicar Solicitud Homologacion,955,81851,Variant 1,1,Fluxicon Disco
Radicar Solicitud Homologacion,complete,955,2016-02-03 14:30:27+00:00,Radicar Solicitud Homologacion,955,81851,Variant 1,1,Fluxicon Disco
Cancelar Solicitud,start,22475,2016-02-03 23:01:07+00:00,Cancelar Solicitud,22475,81851,Variant 1,1,Fluxicon Disco
Cancelar Solicitud,complete,22475,2016-02-03 23:17:37+00:00,Cancelar Solicitud,22475,81851,Variant 1,1,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,22475,2016-02-05 23:31:27+00:00,Notificacion estudiante cancelacion soli,22475,81851,Variant 1,1,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,22475,2016-02-05 23:31:27+00:00,Notificacion estudiante cancelacion soli,22475,81851,Variant 1,1,Fluxicon Disco
Traer informacion estudiante - banner,start,8443,2016-02-03 21:22:37+00:00,Traer informacion estudiante - banner,8443,81951,Variant 1,1,Fluxicon Disco
Traer informacion estudiante - banner,complete,8443,2016-02-03 21:22:37+00:00,Traer informacion estudiante - banner,8443,81951,Variant 1,1,Fluxicon Disco
Radicar Solicitud Homologacion,start,8443,2016-02-03 21:22:41+00:00,Radicar Solicitud Homologacion,8443,81951,Variant 1,1,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8443,2016-02-03 21:50:18+00:00,Radicar Solicitud Homologacion,8443,81951,Variant 1,1,Fluxicon Disco
Cancelar Solicitud,start,8443,2016-02-09 03:52:53+00:00,Cancelar Solicitud,8443,81951,Variant 1,1,Fluxicon Disco
Cancelar Solicitud,complete,8443,2016-02-09 05:18:13+00:00,Cancelar Solicitud,8443,81951,Variant 1,1,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,8443,2016-02-23 22:20:40+00:00,Notificacion estudiante cancelacion soli,8443,81951,Variant 1,1,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,8443,2016-02-23 22:20:40+00:00,Notificacion estudiante cancelacion soli,8443,81951,Variant 1,1,Fluxicon Disco
Traer informacion estudiante - banner,start,955,2016-02-03 23:08:17+00:00,Traer informacion estudiante - banner,955,82008,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,complete,955,2016-02-03 23:08:17+00:00,Traer informacion estudiante - banner,955,82008,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,start,955,2016-02-03 23:08:18+00:00,Radicar Solicitud Homologacion,955,82008,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,complete,955,2016-02-03 23:08:29+00:00,Radicar Solicitud Homologacion,955,82008,Variant 2,2,Fluxicon Disco
Validar solicitud,start,1707,2016-02-03 23:19:36+00:00,Validar solicitud,1707,82008,Variant 2,2,Fluxicon Disco
Validar solicitud,complete,1707,2016-02-04 00:04:55+00:00,Validar solicitud,1707,82008,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,start,15930,2016-02-11 18:39:20+00:00,Homologacion por grupo de cursos,15930,82008,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,complete,15930,2016-02-11 20:55:40+00:00,Homologacion por grupo de cursos,15930,82008,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,start,955,2016-02-03 23:20:30+00:00,Traer informacion estudiante - banner,955,82009,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,complete,955,2016-02-03 23:20:30+00:00,Traer informacion estudiante - banner,955,82009,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,start,955,2016-02-03 23:20:31+00:00,Radicar Solicitud Homologacion,955,82009,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,complete,955,2016-02-03 23:20:39+00:00,Radicar Solicitud Homologacion,955,82009,Variant 2,2,Fluxicon Disco
Validar solicitud,start,1707,2016-02-03 23:28:42+00:00,Validar solicitud,1707,82009,Variant 2,2,Fluxicon Disco
Validar solicitud,complete,1707,2016-02-04 00:13:51+00:00,Validar solicitud,1707,82009,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,start,15930,2016-02-11 18:37:42+00:00,Homologacion por grupo de cursos,15930,82009,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,complete,15930,2016-02-11 20:51:10+00:00,Homologacion por grupo de cursos,15930,82009,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,start,18289,2016-02-04 02:15:40+00:00,Traer informacion estudiante - banner,18289,82054,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,complete,18289,2016-02-04 02:15:40+00:00,Traer informacion estudiante - banner,18289,82054,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,start,18289,2016-02-04 02:15:41+00:00,Radicar Solicitud Homologacion,18289,82054,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,complete,18289,2016-02-04 02:15:41+00:00,Radicar Solicitud Homologacion,18289,82054,Variant 2,2,Fluxicon Disco
Validar solicitud,start,22475,2016-02-04 02:34:06+00:00,Validar solicitud,22475,82054,Variant 2,2,Fluxicon Disco
Validar solicitud,complete,22475,2016-02-04 02:48:23+00:00,Validar solicitud,22475,82054,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,start,1343,2016-02-05 23:17:06+00:00,Homologacion por grupo de cursos,1343,82054,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,complete,1343,2016-02-05 23:50:08+00:00,Homologacion por grupo de cursos,1343,82054,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,start,16695,2016-02-04 03:31:58+00:00,Traer informacion estudiante - banner,16695,82101,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,complete,16695,2016-02-04 03:31:58+00:00,Traer informacion estudiante - banner,16695,82101,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,start,16695,2016-02-04 03:32:03+00:00,Radicar Solicitud Homologacion,16695,82101,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,complete,16695,2016-02-04 03:33:00+00:00,Radicar Solicitud Homologacion,16695,82101,Variant 2,2,Fluxicon Disco
Validar solicitud,start,659,2016-02-04 15:57:57+00:00,Validar solicitud,659,82101,Variant 2,2,Fluxicon Disco
Validar solicitud,complete,659,2016-02-04 16:05:49+00:00,Validar solicitud,659,82101,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,start,1422,2016-02-05 15:50:37+00:00,Homologacion por grupo de cursos,1422,82101,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,complete,1422,2016-02-05 15:51:10+00:00,Homologacion por grupo de cursos,1422,82101,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,start,528,2016-02-04 03:55:28+00:00,Traer informacion estudiante - banner,528,82102,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,complete,528,2016-02-04 03:55:28+00:00,Traer informacion estudiante - banner,528,82102,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,start,528,2016-02-04 03:55:29+00:00,Radicar Solicitud Homologacion,528,82102,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,complete,528,2016-02-04 03:55:29+00:00,Radicar Solicitud Homologacion,528,82102,Variant 2,2,Fluxicon Disco
Validar solicitud,start,716,2016-02-04 05:18:54+00:00,Validar solicitud,716,82102,Variant 2,2,Fluxicon Disco
Validar solicitud,complete,716,2016-02-04 05:46:17+00:00,Validar solicitud,716,82102,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,start,7394,2016-02-09 18:23:47+00:00,Homologacion por grupo de cursos,7394,82102,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,complete,7394,2016-02-09 19:52:30+00:00,Homologacion por grupo de cursos,7394,82102,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,start,6186,2016-02-04 01:39:02+00:00,Traer informacion estudiante - banner,6186,82151,Variant 1,1,Fluxicon Disco
Traer informacion estudiante - banner,complete,6186,2016-02-04 01:39:02+00:00,Traer informacion estudiante - banner,6186,82151,Variant 1,1,Fluxicon Disco
Radicar Solicitud Homologacion,start,6186,2016-02-04 01:39:07+00:00,Radicar Solicitud Homologacion,6186,82151,Variant 1,1,Fluxicon Disco
Radicar Solicitud Homologacion,complete,6186,2016-02-04 01:39:07+00:00,Radicar Solicitud Homologacion,6186,82151,Variant 1,1,Fluxicon Disco
Cancelar Solicitud,start,22404,2016-02-04 01:55:20+00:00,Cancelar Solicitud,22404,82151,Variant 1,1,Fluxicon Disco
Cancelar Solicitud,complete,22404,2016-02-04 02:45:05+00:00,Cancelar Solicitud,22404,82151,Variant 1,1,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,22404,2016-02-12 16:45:53+00:00,Notificacion estudiante cancelacion soli,22404,82151,Variant 1,1,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,22404,2016-02-12 16:45:53+00:00,Notificacion estudiante cancelacion soli,22404,82151,Variant 1,1,Fluxicon Disco
Traer informacion estudiante - banner,start,8916,2016-02-04 06:20:38+00:00,Traer informacion estudiante - banner,8916,82251,Variant 9,9,Fluxicon Disco
Traer informacion estudiante - banner,complete,8916,2016-02-04 06:20:38+00:00,Traer informacion estudiante - banner,8916,82251,Variant 9,9,Fluxicon Disco
Radicar Solicitud Homologacion,start,8916,2016-02-04 06:20:41+00:00,Radicar Solicitud Homologacion,8916,82251,Variant 9,9,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8916,2016-02-04 06:20:41+00:00,Radicar Solicitud Homologacion,8916,82251,Variant 9,9,Fluxicon Disco
Validar solicitud,start,669,2016-02-04 06:28:26+00:00,Validar solicitud,669,82251,Variant 9,9,Fluxicon Disco
Cancelar Solicitud,start,8916,2016-02-04 06:28:26+00:00,Cancelar Solicitud,8916,82251,Variant 9,9,Fluxicon Disco
Validar solicitud,complete,669,2016-02-04 06:38:22+00:00,Validar solicitud,669,82251,Variant 9,9,Fluxicon Disco
Cancelar Solicitud,complete,8916,2016-02-04 07:07:51+00:00,Cancelar Solicitud,8916,82251,Variant 9,9,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,8916,2016-02-11 00:25:56+00:00,Notificacion estudiante cancelacion soli,8916,82251,Variant 9,9,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,8916,2016-02-11 00:25:56+00:00,Notificacion estudiante cancelacion soli,8916,82251,Variant 9,9,Fluxicon Disco
Traer informacion estudiante - banner,start,8186,2016-02-04 07:55:23+00:00,Traer informacion estudiante - banner,8186,82301,Variant 43,43,Fluxicon Disco
Traer informacion estudiante - banner,complete,8186,2016-02-04 07:55:23+00:00,Traer informacion estudiante - banner,8186,82301,Variant 43,43,Fluxicon Disco
Radicar Solicitud Homologacion,start,8186,2016-02-04 07:55:26+00:00,Radicar Solicitud Homologacion,8186,82301,Variant 43,43,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8186,2016-02-04 08:07:46+00:00,Radicar Solicitud Homologacion,8186,82301,Variant 43,43,Fluxicon Disco
Recepcion de documentos,start,26789,2016-02-05 19:25:26+00:00,Recepcion de documentos,26789,82301,Variant 43,43,Fluxicon Disco
Homologacion por grupo de cursos,start,1007,2016-02-05 19:25:27+00:00,Homologacion por grupo de cursos,1007,82301,Variant 43,43,Fluxicon Disco
Validar solicitud,start,387,2016-02-05 21:20:17+00:00,Validar solicitud,387,82301,Variant 43,43,Fluxicon Disco
Validar solicitud,complete,387,2016-02-05 21:20:17+00:00,Validar solicitud,387,82301,Variant 43,43,Fluxicon Disco
Recepcion de documentos,complete,26789,2016-02-06 07:33:26+00:00,Recepcion de documentos,26789,82301,Variant 43,43,Fluxicon Disco
Homologacion por grupo de cursos,complete,1007,2016-02-06 07:42:52+00:00,Homologacion por grupo de cursos,1007,82301,Variant 43,43,Fluxicon Disco
Traer informacion estudiante - banner,start,8528,2016-02-04 14:47:27+00:00,Traer informacion estudiante - banner,8528,82503,Variant 1,1,Fluxicon Disco
Traer informacion estudiante - banner,complete,8528,2016-02-04 14:47:27+00:00,Traer informacion estudiante - banner,8528,82503,Variant 1,1,Fluxicon Disco
Radicar Solicitud Homologacion,start,8528,2016-02-04 14:47:30+00:00,Radicar Solicitud Homologacion,8528,82503,Variant 1,1,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8528,2016-02-04 14:47:36+00:00,Radicar Solicitud Homologacion,8528,82503,Variant 1,1,Fluxicon Disco
Cancelar Solicitud,start,8528,2016-02-04 15:06:17+00:00,Cancelar Solicitud,8528,82503,Variant 1,1,Fluxicon Disco
Cancelar Solicitud,complete,8528,2016-02-04 15:06:28+00:00,Cancelar Solicitud,8528,82503,Variant 1,1,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,8528,2016-02-04 15:18:12+00:00,Notificacion estudiante cancelacion soli,8528,82503,Variant 1,1,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,8528,2016-02-04 15:18:12+00:00,Notificacion estudiante cancelacion soli,8528,82503,Variant 1,1,Fluxicon Disco
Traer informacion estudiante - banner,start,8528,2016-02-04 15:06:44+00:00,Traer informacion estudiante - banner,8528,82505,Variant 1,1,Fluxicon Disco
Traer informacion estudiante - banner,complete,8528,2016-02-04 15:06:44+00:00,Traer informacion estudiante - banner,8528,82505,Variant 1,1,Fluxicon Disco
Radicar Solicitud Homologacion,start,8528,2016-02-04 15:06:45+00:00,Radicar Solicitud Homologacion,8528,82505,Variant 1,1,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8528,2016-02-04 15:06:50+00:00,Radicar Solicitud Homologacion,8528,82505,Variant 1,1,Fluxicon Disco
Cancelar Solicitud,start,1707,2016-02-04 15:12:27+00:00,Cancelar Solicitud,1707,82505,Variant 1,1,Fluxicon Disco
Cancelar Solicitud,complete,1707,2016-02-04 15:56:14+00:00,Cancelar Solicitud,1707,82505,Variant 1,1,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,1707,2016-02-11 19:15:32+00:00,Notificacion estudiante cancelacion soli,1707,82505,Variant 1,1,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,1707,2016-02-11 19:15:32+00:00,Notificacion estudiante cancelacion soli,1707,82505,Variant 1,1,Fluxicon Disco
Traer informacion estudiante - banner,start,2804,2016-02-04 15:16:32+00:00,Traer informacion estudiante - banner,2804,82506,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,complete,2804,2016-02-04 15:16:32+00:00,Traer informacion estudiante - banner,2804,82506,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,start,2804,2016-02-04 15:16:33+00:00,Radicar Solicitud Homologacion,2804,82506,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,complete,2804,2016-02-04 15:16:40+00:00,Radicar Solicitud Homologacion,2804,82506,Variant 2,2,Fluxicon Disco
Validar solicitud,start,677,2016-02-04 15:24:30+00:00,Validar solicitud,677,82506,Variant 2,2,Fluxicon Disco
Validar solicitud,complete,677,2016-02-04 15:40:05+00:00,Validar solicitud,677,82506,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,start,3445,2016-02-08 14:36:31+00:00,Homologacion por grupo de cursos,3445,82506,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,complete,3445,2016-02-08 16:24:31+00:00,Homologacion por grupo de cursos,3445,82506,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,start,8528,2016-02-04 15:18:19+00:00,Traer informacion estudiante - banner,8528,82507,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,complete,8528,2016-02-04 15:18:19+00:00,Traer informacion estudiante - banner,8528,82507,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,start,8528,2016-02-04 15:18:20+00:00,Radicar Solicitud Homologacion,8528,82507,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8528,2016-02-04 15:18:21+00:00,Radicar Solicitud Homologacion,8528,82507,Variant 2,2,Fluxicon Disco
Validar solicitud,start,6694,2016-02-04 15:19:58+00:00,Validar solicitud,6694,82507,Variant 2,2,Fluxicon Disco
Validar solicitud,complete,6694,2016-02-04 15:29:27+00:00,Validar solicitud,6694,82507,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,start,6990,2016-02-05 16:49:44+00:00,Homologacion por grupo de cursos,6990,82507,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,complete,6990,2016-02-05 19:23:54+00:00,Homologacion por grupo de cursos,6990,82507,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,start,8528,2016-02-04 15:24:47+00:00,Traer informacion estudiante - banner,8528,82508,Variant 2,2,Fluxicon Disco
