Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,Variant.1,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup,Start Timestamp
Case 3625,Assign seriousness,Value 2,2010-01-14 10:35:57.000,Variant 4,4,Variant 4,Value 1,Value 53,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1,2010-01-14 10:32:58.930296
Case 406,Take in charge ticket,Value 2,2010-01-14 11:42:31.000,Variant 4,4,Variant 4,Value 1,Value 143,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1,2010-01-14 06:25:44.410765
Case 406,Resolve ticket,Value 2,2010-01-14 11:42:37.000,Variant 4,4,Variant 4,Value 1,Value 143,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1,2010-01-14 11:42:35.267219
Case 1621,Assign seriousness,Value 2,2010-01-15 17:11:07.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 1,2010-01-15 17:05:39.433557
Case 390,Assign seriousness,Value 2,2010-01-18 09:30:02.000,Variant 1,1,Variant 1,Value 1,Value 103,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1,2010-01-18 09:05:25.745093
Case 390,Take in charge ticket,Value 2,2010-01-18 09:30:24.000,Variant 1,1,Variant 1,Value 1,Value 103,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1,2010-01-18 09:30:17.646469
Case 390,Resolve ticket,Value 2,2010-01-18 09:32:21.000,Variant 1,1,Variant 1,Value 1,Value 103,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1,2010-01-18 09:31:47.210765
Case 1941,Assign seriousness,Value 2,2010-01-19 09:11:08.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1,2010-01-19 08:25:13.817705
Case 2748,Take in charge ticket,Value 2,2010-01-19 09:26:05.000,Variant 1,1,Variant 1,Value 1,Value 52,Value 3,Value 7,Value 1,Value 2,Value 1,Value 3,Value 1,2010-01-19 09:14:50.750000
Case 2748,Resolve ticket,Value 2,2010-01-19 09:28:50.000,Variant 1,1,Variant 1,Value 1,Value 52,Value 3,Value 7,Value 1,Value 2,Value 1,Value 3,Value 1,2010-01-19 09:28:02.348514
Case 404,Assign seriousness,Value 2,2010-01-19 17:01:04.000,Variant 1,1,Variant 1,Value 1,Value 162,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3,2010-01-19 16:06:51.236483
Case 4539,Take in charge ticket,Value 15,2010-01-20 09:15:20.000,Variant 4,4,Variant 4,Value 1,Value 55,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 1,2010-01-20 09:04:05.750000
Case 4539,Resolve ticket,Value 15,2010-01-20 09:26:05.000,Variant 4,4,Variant 4,Value 1,Value 55,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 1,2010-01-20 09:21:11.099057
Case 791,Assign seriousness,Value 2,2010-01-21 08:49:07.000,Variant 1,1,Variant 1,Value 1,Value 97,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3,2010-01-21 07:51:07.402094
Case 1485,Assign seriousness,Value 2,2010-01-21 08:52:31.000,Variant 1,1,Variant 1,Value 1,Value 10,Value 3,Value 2,Value 2,Value 3,Value 1,Value 3,Value 3,2010-01-21 08:29:19.356580
Case 1000,Assign seriousness,Value 2,2010-01-21 08:53:28.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1,2010-01-21 08:44:47.413755
Case 1000,Assign seriousness,Value 2,2010-01-21 08:53:34.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1,2010-01-21 08:03:58.048457
Case 1000,Take in charge ticket,Value 2,2010-01-21 08:53:40.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1,2010-01-21 08:53:38.267219
Case 2915,Assign seriousness,Value 2,2010-01-21 08:57:25.000,Variant 4,4,Variant 4,Value 1,Value 48,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3,2010-01-21 08:01:29.573638
Case 2915,Assign seriousness,Value 2,2010-01-21 08:57:35.000,Variant 4,4,Variant 4,Value 1,Value 48,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3,2010-01-21 08:47:48.886072
Case 1941,Take in charge ticket,Value 2,2010-01-21 09:14:12.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1,2010-01-21 09:02:57.750000
Case 1941,Resolve ticket,Value 2,2010-01-21 10:08:05.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1,2010-01-21 09:52:31.319679
Case 1768,Assign seriousness,Value 2,2010-01-22 08:17:33.000,Variant 1,1,Variant 1,Value 1,Value 35,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2,2010-01-22 08:07:22.383406
Case 1768,Take in charge ticket,Value 11,2010-01-22 08:46:15.000,Variant 1,1,Variant 1,Value 1,Value 35,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2,2010-01-22 08:35:26.125403
Case 1006,Assign seriousness,Value 2,2010-01-22 11:09:40.000,Variant 1,1,Variant 1,Value 1,Value 255,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1,2010-01-22 10:59:46.771165
Case 1006,Take in charge ticket,Value 2,2010-01-22 11:09:51.000,Variant 1,1,Variant 1,Value 1,Value 255,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1,2010-01-22 11:09:47.823234
Case 1006,Resolve ticket,Value 2,2010-01-22 11:09:59.000,Variant 1,1,Variant 1,Value 1,Value 255,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1,2010-01-22 11:09:56.689625
Case 2742,Assign seriousness,Value 2,2010-01-22 14:49:01.000,Variant 12,12,Variant 12,Value 1,Value 148,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3,2010-01-22 13:54:04.484090
Case 2742,Take in charge ticket,Value 2,2010-01-22 14:49:10.000,Variant 12,12,Variant 12,Value 1,Value 148,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3,2010-01-22 14:49:07.400828
Case 1768,Resolve ticket,Value 11,2010-01-25 13:23:52.000,Variant 1,1,Variant 1,Value 1,Value 35,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2,2010-01-25 12:57:59.750000
Case 1534,Take in charge ticket,Value 2,2010-01-26 09:50:48.000,Variant 33,33,Variant 33,Value 1,Value 176,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3,2010-01-26 09:39:33.750000
Case 1534,Resolve ticket,Value 2,2010-01-26 09:50:55.000,Variant 33,33,Variant 33,Value 1,Value 176,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3,2010-01-26 09:50:52.978422
Case 1223,Assign seriousness,Value 2,2010-01-26 11:36:21.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1,2010-01-26 11:24:24.099538
Case 1223,Take in charge ticket,Value 2,2010-01-26 11:36:30.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1,2010-01-26 11:36:27.400828
Case 1000,Resolve ticket,Value 2,2010-01-26 14:06:53.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1,2010-01-26 13:41:00.750000
Case 1703,Assign seriousness,Value 2,2010-01-26 14:14:39.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1,2010-01-26 13:40:23.633207
Case 1223,Resolve ticket,Value 2,2010-01-26 16:06:29.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1,2010-01-26 14:48:30.779299
Case 4284,Assign seriousness,Value 2,2010-01-27 13:31:11.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1,2010-01-27 12:35:46.602914
Case 4284,Take in charge ticket,Value 2,2010-01-27 13:31:18.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1,2010-01-27 13:31:15.978422
Case 4284,Resolve ticket,Value 2,2010-01-27 13:31:24.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1,2010-01-27 13:31:22.267219
Case 1223,Take in charge ticket,Value 2,2010-01-27 14:28:58.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1,2010-01-27 14:17:43.750000
Case 4284,Take in charge ticket,Value 2,2010-01-27 15:59:14.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1,2010-01-27 15:16:32.371651
Case 4284,Resolve ticket,Value 2,2010-01-27 15:59:23.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1,2010-01-27 15:59:20.400828
Case 3608,Take in charge ticket,Value 2,2010-01-29 08:52:27.000,Variant 33,33,Variant 33,Value 1,Value 63,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3,2010-01-29 08:41:12.750000
Case 3608,Resolve ticket,Value 2,2010-01-29 08:52:34.000,Variant 33,33,Variant 33,Value 1,Value 63,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3,2010-01-29 08:52:31.978422
Case 4505,Assign seriousness,Value 2,2010-01-29 10:14:43.000,Variant 1,1,Variant 1,Value 1,Value 91,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3,2010-01-29 09:30:36.176406
Case 4505,Take in charge ticket,Value 2,2010-01-29 10:14:56.000,Variant 1,1,Variant 1,Value 1,Value 91,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3,2010-01-29 10:14:52.245641
Case 4505,Resolve ticket,Value 2,2010-01-29 10:15:02.000,Variant 1,1,Variant 1,Value 1,Value 91,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3,2010-01-29 10:15:00.267219
Case 1621,Take in charge ticket,Value 2,2010-02-01 08:16:26.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 1,2010-02-01 08:05:11.750000
Case 1621,Resolve ticket,Value 2,2010-02-01 08:30:33.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 1,2010-02-01 08:26:28.389040
Case 3625,Take in charge ticket,Value 2,2010-02-01 11:43:31.000,Variant 4,4,Variant 4,Value 1,Value 53,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1,2010-02-01 11:32:16.750000
Case 2441,Assign seriousness,Value 2,2010-02-02 09:49:41.000,Variant 4,4,Variant 4,Value 1,Value 186,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3,2010-02-02 09:16:21.823822
Case 588,Assign seriousness,Value 2,2010-02-02 09:52:38.000,Variant 1,1,Variant 1,Value 1,Value 76,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3,2010-02-02 09:15:10.734454
Case 1400,Assign seriousness,Value 2,2010-02-02 09:57:11.000,Variant 1,1,Variant 1,Value 1,Value 108,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-02 09:55:49.791483
Case 1400,Take in charge ticket,Value 2,2010-02-02 09:57:23.000,Variant 1,1,Variant 1,Value 1,Value 108,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-02 09:57:19.534437
Case 1400,Resolve ticket,Value 2,2010-02-02 09:57:29.000,Variant 1,1,Variant 1,Value 1,Value 108,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-02 09:57:27.267219
Case 1196,Assign seriousness,Value 2,2010-02-02 10:17:37.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3,2010-02-02 10:13:16.941170
Case 1468,Assign seriousness,Value 2,2010-02-02 10:18:33.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 9,Value 4,Value 2,Value 2,Value 1,Value 3,Value 3,2010-02-02 09:44:09.636683
Case 189,Assign seriousness,Value 2,2010-02-02 13:49:13.000,Variant 4,4,Variant 4,Value 1,Value 100,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1,2010-02-02 13:18:24.210829
Case 189,Assign seriousness,Value 2,2010-02-02 14:04:15.000,Variant 4,4,Variant 4,Value 1,Value 100,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1,2010-02-02 13:41:39.659924
Case 189,Take in charge ticket,Value 2,2010-02-03 14:27:07.000,Variant 4,4,Variant 4,Value 1,Value 100,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1,2010-02-03 14:15:52.750000
Case 189,Resolve ticket,Value 2,2010-02-03 14:27:16.000,Variant 4,4,Variant 4,Value 1,Value 100,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1,2010-02-03 14:27:13.400828
Case 4378,Assign seriousness,Value 2,2010-02-04 08:20:45.000,Variant 13,13,Variant 13,Value 1,Value 9,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3,2010-02-04 07:55:04.666020
Case 4378,Assign seriousness,Value 2,2010-02-04 08:21:00.000,Variant 13,13,Variant 13,Value 1,Value 9,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3,2010-02-04 07:51:01.728791
Case 3806,Assign seriousness,Value 2,2010-02-04 08:22:39.000,Variant 38,38,Variant 38,Value 1,Value 194,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-04 08:08:35.482489
Case 3806,Take in charge ticket,Value 2,2010-02-04 08:22:54.000,Variant 38,38,Variant 38,Value 1,Value 194,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-04 08:22:49.668047
Case 3806,Wait,Value 2,2010-02-04 09:07:26.000,Variant 38,38,Variant 38,Value 1,Value 194,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-04 08:54:34.334730
Case 1030,Assign seriousness,Value 2,2010-02-04 09:40:52.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 2,Value 2,Value 1,Value 6,Value 1,2010-02-04 08:44:13.497982
Case 1030,Assign seriousness,Value 2,2010-02-04 09:41:05.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 1,Value 2,Value 1,Value 6,Value 1,2010-02-04 08:59:14.257892
Case 1030,Take in charge ticket,Value 2,2010-02-04 09:41:23.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 1,Value 2,Value 1,Value 6,Value 1,2010-02-04 09:41:17.801656
Case 1030,Create SW anomaly,Value 2,2010-02-04 09:41:33.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 1,Value 2,Value 1,Value 6,Value 1,2010-02-04 09:41:30.112031
Case 1798,Assign seriousness,Value 2,2010-02-04 10:36:44.000,Variant 19,19,Variant 19,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-04 10:06:59.240716
Case 2088,Assign seriousness,Value 2,2010-02-04 10:37:45.000,Variant 19,19,Variant 19,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-04 10:12:52.183031
Case 1798,Take in charge ticket,Value 2,2010-02-04 10:49:49.000,Variant 19,19,Variant 19,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-04 10:46:02.294447
Case 1798,Create SW anomaly,Value 2,2010-02-04 10:49:57.000,Variant 19,19,Variant 19,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-04 10:49:54.689625
Case 2088,Take in charge ticket,Value 2,2010-02-04 11:01:28.000,Variant 19,19,Variant 19,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-04 10:54:37.042036
Case 2088,Create SW anomaly,Value 2,2010-02-04 11:01:35.000,Variant 19,19,Variant 19,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-04 11:01:32.978422
Case 765,Assign seriousness,Value 2,2010-02-05 11:15:48.000,Variant 1,1,Variant 1,Value 1,Value 63,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 3,2010-02-05 10:45:26.571878
Case 2131,Assign seriousness,Value 2,2010-02-08 11:02:38.000,Variant 1,1,Variant 1,Value 1,Value 3,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3,2010-02-08 10:52:13.588966
Case 1223,Resolve ticket,Value 2,2010-02-08 11:54:13.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-08 11:28:20.750000
Case 1191,Assign seriousness,Value 16,2010-02-08 15:06:58.000,Variant 3,3,Variant 3,Value 1,Value 9,Value 9,Value 2,Value 2,Value 2,Value 2,Value 3,Value 2,2010-02-08 14:56:19.309379
Case 1191,Take in charge ticket,Value 16,2010-02-08 15:12:00.000,Variant 3,3,Variant 3,Value 1,Value 9,Value 9,Value 2,Value 2,Value 2,Value 2,Value 3,Value 2,2010-02-08 15:10:09.985714
Case 1191,Wait,Value 16,2010-02-08 15:12:28.000,Variant 3,3,Variant 3,Value 1,Value 9,Value 9,Value 2,Value 2,Value 2,Value 2,Value 3,Value 2,2010-02-08 15:12:17.800000
Case 81,Assign seriousness,Value 16,2010-02-09 08:31:47.000,Variant 16,16,Variant 16,Value 1,Value 9,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2,2010-02-09 07:40:44.875859
Case 81,Take in charge ticket,Value 16,2010-02-09 08:35:12.000,Variant 16,16,Variant 16,Value 1,Value 9,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2,2010-02-09 08:33:57.321429
Case 81,Wait,Value 16,2010-02-09 08:35:26.000,Variant 16,16,Variant 16,Value 1,Value 9,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2,2010-02-09 08:35:20.900000
Case 81,Wait,Value 2,2010-02-09 08:36:27.000,Variant 16,16,Variant 16,Value 1,Value 9,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2,2010-02-09 08:36:09.383390
Case 3918,Assign seriousness,Value 2,2010-02-09 08:47:01.000,Variant 1,1,Variant 1,Value 1,Value 125,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 3,2010-02-09 08:14:33.059369
Case 899,Assign seriousness,Value 2,2010-02-09 14:31:28.000,Variant 112,112,Variant 112,Value 1,Value 97,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 1,2010-02-09 14:03:05.544351
Case 899,Take in charge ticket,Value 2,2010-02-09 14:31:46.000,Variant 112,112,Variant 112,Value 1,Value 97,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 1,2010-02-09 14:31:40.801656
Case 899,Create SW anomaly,Value 2,2010-02-09 14:32:02.000,Variant 112,112,Variant 112,Value 1,Value 97,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 1,2010-02-09 14:31:57.379250
Case 2118,Take in charge ticket,Value 21,2010-02-09 15:01:11.000,Variant 1,1,Variant 1,Value 1,Value 236,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 3,2010-02-09 14:49:56.750000
Case 1130,Assign seriousness,Value 2,2010-02-09 16:07:04.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 4,Value 2,Value 1,Value 3,Value 1,2010-02-09 15:15:36.782733
Case 1130,Take in charge ticket,Value 2,2010-02-09 16:07:11.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 4,Value 2,Value 1,Value 3,Value 1,2010-02-09 16:07:08.978422
Case 1130,Resolve ticket,Value 2,2010-02-09 16:07:18.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 4,Value 2,Value 1,Value 3,Value 1,2010-02-09 16:07:15.978422
Case 3849,Assign seriousness,Value 2,2010-02-09 16:10:28.000,Variant 6,6,Variant 6,Value 1,Value 319,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 3,2010-02-09 15:54:36.082834
Case 1703,Take in charge ticket,Value 2,2010-02-09 16:14:20.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1,2010-02-09 16:03:05.750000
Case 1703,Resolve ticket,Value 2,2010-02-09 16:14:25.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1,2010-02-09 16:14:23.556016
Case 360,Assign seriousness,Value 2,2010-02-09 16:17:06.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1,2010-02-09 15:22:42.089507
Case 3238,Assign seriousness,Value 2,2010-02-10 08:42:57.000,Variant 53,53,Variant 53,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1,2010-02-10 08:19:11.730374
Case 10,Assign seriousness,Value 2,2010-02-10 08:50:20.000,Variant 1,1,Variant 1,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3,2010-02-10 08:47:13.445355
Case 864,Assign seriousness,Value 2,2010-02-10 08:52:42.000,Variant 3,3,Variant 3,Value 1,Value 97,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 1,2010-02-10 08:12:58.810333
Case 4290,Assign seriousness,Value 2,2010-02-10 08:58:35.000,Variant 1,1,Variant 1,Value 1,Value 286,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 3,2010-02-10 08:09:58.133026
Case 2817,Assign seriousness,Value 2,2010-02-10 09:15:34.000,Variant 1,1,Variant 1,Value 1,Value 48,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3,2010-02-10 08:54:53.586781
Case 3168,Assign seriousness,Value 2,2010-02-10 09:16:26.000,Variant 1,1,Variant 1,Value 1,Value 48,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3,2010-02-10 08:33:55.052457
Case 151,Assign seriousness,Value 2,2010-02-10 10:25:33.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3,2010-02-10 10:16:13.911006
Case 151,Take in charge ticket,Value 2,2010-02-10 10:33:38.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3,2010-02-10 10:31:17.933512
Case 151,Resolve ticket,Value 2,2010-02-10 10:33:49.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3,2010-02-10 10:33:45.823234
Case 1652,Assign seriousness,Value 16,2010-02-10 12:15:48.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 1,2010-02-10 12:06:46.659818
Case 166,Assign seriousness,Value 2,2010-02-11 08:48:50.000,Variant 1,1,Variant 1,Value 1,Value 95,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 3,2010-02-11 08:24:50.195965
Case 404,Take in charge ticket,Value 2,2010-02-11 14:30:44.000,Variant 1,1,Variant 1,Value 1,Value 162,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3,2010-02-11 14:19:29.750000
Case 404,Resolve ticket,Value 2,2010-02-11 14:30:56.000,Variant 1,1,Variant 1,Value 1,Value 162,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3,2010-02-11 14:30:52.534437
Case 4284,Closed,Value 5,2010-02-11 15:59:39.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1,2010-02-11 13:23:47.125000
Case 3625,Resolve ticket,Value 2,2010-02-12 11:00:01.000,Variant 4,4,Variant 4,Value 1,Value 53,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1,2010-02-12 10:34:08.750000
Case 765,Take in charge ticket,Value 2,2010-02-12 11:14:18.000,Variant 1,1,Variant 1,Value 1,Value 63,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 3,2010-02-12 11:03:03.750000
Case 3608,Closed,Value 5,2010-02-13 08:52:48.000,Variant 33,33,Variant 33,Value 1,Value 63,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3,2010-02-13 06:16:56.125000
Case 3608,Closed,Value 5,2010-02-13 08:52:48.000,Variant 33,33,Variant 33,Value 1,Value 63,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3,2010-02-13 08:51:48.000000
