Activity,lifecycle:transition_start,Resource,Start Timestamp,Activity_start,Resource_start,Case ID,case:variant_start,case:variant-index_start,case:creator_start,event_index_start,EventID,lifecycle:transition_complete,org:resource_complete,Complete Timestamp,Activity_complete,Resource_complete,case:variant_complete,case:variant-index_complete,case:creator_complete,event_index_complete,duration,duration_seconds,duration_ms,duration_hours
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:13:17,Radicar Solicitud Homologacion,8997,81801,Variant 15,15,Fluxicon Disco,0,81801_Radicar Solicitud Homologacion_0,complete,8997,2016-02-03 16:13:57,Radicar Solicitud Homologacion,8997,Variant 15,15,Fluxicon Disco,0,0 days 00:00:40,40.0,40000.0,0.011111111111111112
Validar solicitud,start,19019,2016-02-03 16:54:00,Validar solicitud,19019,81801,Variant 15,15,Fluxicon Disco,0,81801_Validar solicitud_0,complete,19019,2016-02-03 16:54:00,Validar solicitud,19019,Variant 15,15,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Traer informacion estudiante - banner,start,8997,2016-02-03 16:22:13,Traer informacion estudiante - banner,8997,81802,Variant 2,2,Fluxicon Disco,0,81802_Traer informacion estudiante - banner_0,complete,8997,2016-02-03 16:22:13,Traer informacion estudiante - banner,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:22:14,Radicar Solicitud Homologacion,8997,81802,Variant 2,2,Fluxicon Disco,0,81802_Radicar Solicitud Homologacion_0,complete,8997,2016-02-03 16:22:19,Radicar Solicitud Homologacion,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:05,5.0,5000.0,0.001388888888888889
Validar solicitud,start,387,2016-02-03 16:27:40,Validar solicitud,387,81802,Variant 2,2,Fluxicon Disco,0,81802_Validar solicitud_0,complete,387,2016-02-03 16:29:03,Validar solicitud,387,Variant 2,2,Fluxicon Disco,0,0 days 00:01:23,83.0,83000.0,0.023055555555555555
Homologacion por grupo de cursos,start,1007,2016-02-03 17:51:35,Homologacion por grupo de cursos,1007,81802,Variant 2,2,Fluxicon Disco,0,81802_Homologacion por grupo de cursos_0,complete,1007,2016-02-04 02:39:09,Homologacion por grupo de cursos,1007,Variant 2,2,Fluxicon Disco,0,0 days 08:47:34,31654.0,31654000.0,8.792777777777777
Traer informacion estudiante - banner,start,8997,2016-02-03 16:29:30,Traer informacion estudiante - banner,8997,81803,Variant 2,2,Fluxicon Disco,0,81803_Traer informacion estudiante - banner_0,complete,8997,2016-02-03 16:29:30,Traer informacion estudiante - banner,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:29:31,Radicar Solicitud Homologacion,8997,81803,Variant 2,2,Fluxicon Disco,0,81803_Radicar Solicitud Homologacion_0,complete,8997,2016-02-03 16:29:38,Radicar Solicitud Homologacion,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:07,7.0,7000.0,0.0019444444444444444
Validar solicitud,start,387,2016-02-03 16:36:58,Validar solicitud,387,81803,Variant 2,2,Fluxicon Disco,0,81803_Validar solicitud_0,complete,387,2016-02-03 16:38:13,Validar solicitud,387,Variant 2,2,Fluxicon Disco,0,0 days 00:01:15,75.0,75000.0,0.020833333333333332
Homologacion por grupo de cursos,start,22491,2016-02-03 17:52:29,Homologacion por grupo de cursos,22491,81803,Variant 2,2,Fluxicon Disco,0,81803_Homologacion por grupo de cursos_0,complete,22491,2016-02-03 20:57:36,Homologacion por grupo de cursos,22491,Variant 2,2,Fluxicon Disco,0,0 days 03:05:07,11107.0,11107000.0,3.085277777777778
Traer informacion estudiante - banner,start,8997,2016-02-03 16:39:44,Traer informacion estudiante - banner,8997,81804,Variant 2,2,Fluxicon Disco,0,81804_Traer informacion estudiante - banner_0,complete,8997,2016-02-03 16:39:44,Traer informacion estudiante - banner,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:39:45,Radicar Solicitud Homologacion,8997,81804,Variant 2,2,Fluxicon Disco,0,81804_Radicar Solicitud Homologacion_0,complete,8997,2016-02-03 16:39:54,Radicar Solicitud Homologacion,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:09,9.0,9000.0,0.0025
Validar solicitud,start,387,2016-02-03 16:49:16,Validar solicitud,387,81804,Variant 2,2,Fluxicon Disco,0,81804_Validar solicitud_0,complete,387,2016-02-03 16:50:19,Validar solicitud,387,Variant 2,2,Fluxicon Disco,0,0 days 00:01:03,63.0,63000.0,0.0175
Homologacion por grupo de cursos,start,1007,2016-02-03 17:52:59,Homologacion por grupo de cursos,1007,81804,Variant 2,2,Fluxicon Disco,0,81804_Homologacion por grupo de cursos_0,complete,1007,2016-02-03 18:12:02,Homologacion por grupo de cursos,1007,Variant 2,2,Fluxicon Disco,0,0 days 00:19:03,1143.0,1143000.0,0.3175
Traer informacion estudiante - banner,start,8997,2016-02-03 16:54:27,Traer informacion estudiante - banner,8997,81805,Variant 2,2,Fluxicon Disco,0,81805_Traer informacion estudiante - banner_0,complete,8997,2016-02-03 16:54:27,Traer informacion estudiante - banner,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:54:28,Radicar Solicitud Homologacion,8997,81805,Variant 2,2,Fluxicon Disco,0,81805_Radicar Solicitud Homologacion_0,complete,8997,2016-02-03 16:54:32,Radicar Solicitud Homologacion,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:04,4.0,4000.0,0.0011111111111111111
Validar solicitud,start,387,2016-02-03 16:58:47,Validar solicitud,387,81805,Variant 2,2,Fluxicon Disco,0,81805_Validar solicitud_0,complete,387,2016-02-03 16:59:42,Validar solicitud,387,Variant 2,2,Fluxicon Disco,0,0 days 00:00:55,55.0,55000.0,0.015277777777777777
Homologacion por grupo de cursos,start,1007,2016-02-03 17:54:40,Homologacion por grupo de cursos,1007,81805,Variant 2,2,Fluxicon Disco,0,81805_Homologacion por grupo de cursos_0,complete,1007,2016-02-03 18:13:43,Homologacion por grupo de cursos,1007,Variant 2,2,Fluxicon Disco,0,0 days 00:19:03,1143.0,1143000.0,0.3175
Traer informacion estudiante - banner,start,955,2016-02-03 14:24:22,Traer informacion estudiante - banner,955,81851,Variant 1,1,Fluxicon Disco,0,81851_Traer informacion estudiante - banner_0,complete,955,2016-02-03 14:24:22,Traer informacion estudiante - banner,955,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,955,2016-02-03 14:24:26,Radicar Solicitud Homologacion,955,81851,Variant 1,1,Fluxicon Disco,0,81851_Radicar Solicitud Homologacion_0,complete,955,2016-02-03 14:30:27,Radicar Solicitud Homologacion,955,Variant 1,1,Fluxicon Disco,0,0 days 00:06:01,361.0,361000.0,0.10027777777777777
Cancelar Solicitud,start,22475,2016-02-03 23:01:07,Cancelar Solicitud,22475,81851,Variant 1,1,Fluxicon Disco,0,81851_Cancelar Solicitud_0,complete,22475,2016-02-03 23:17:37,Cancelar Solicitud,22475,Variant 1,1,Fluxicon Disco,0,0 days 00:16:30,990.0,990000.0,0.275
Notificacion estudiante cancelacion soli,start,22475,2016-02-05 23:31:27,Notificacion estudiante cancelacion soli,22475,81851,Variant 1,1,Fluxicon Disco,0,81851_Notificacion estudiante cancelacion soli_0,complete,22475,2016-02-05 23:31:27,Notificacion estudiante cancelacion soli,22475,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Traer informacion estudiante - banner,start,8443,2016-02-03 21:22:37,Traer informacion estudiante - banner,8443,81951,Variant 1,1,Fluxicon Disco,0,81951_Traer informacion estudiante - banner_0,complete,8443,2016-02-03 21:22:37,Traer informacion estudiante - banner,8443,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,8443,2016-02-03 21:22:41,Radicar Solicitud Homologacion,8443,81951,Variant 1,1,Fluxicon Disco,0,81951_Radicar Solicitud Homologacion_0,complete,8443,2016-02-03 21:50:18,Radicar Solicitud Homologacion,8443,Variant 1,1,Fluxicon Disco,0,0 days 00:27:37,1657.0,1657000.0,0.4602777777777778
Cancelar Solicitud,start,8443,2016-02-09 03:52:53,Cancelar Solicitud,8443,81951,Variant 1,1,Fluxicon Disco,0,81951_Cancelar Solicitud_0,complete,8443,2016-02-09 05:18:13,Cancelar Solicitud,8443,Variant 1,1,Fluxicon Disco,0,0 days 01:25:20,5120.0,5120000.0,1.4222222222222223
Notificacion estudiante cancelacion soli,start,8443,2016-02-23 22:20:40,Notificacion estudiante cancelacion soli,8443,81951,Variant 1,1,Fluxicon Disco,0,81951_Notificacion estudiante cancelacion soli_0,complete,8443,2016-02-23 22:20:40,Notificacion estudiante cancelacion soli,8443,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Traer informacion estudiante - banner,start,955,2016-02-03 23:08:17,Traer informacion estudiante - banner,955,82008,Variant 2,2,Fluxicon Disco,0,82008_Traer informacion estudiante - banner_0,complete,955,2016-02-03 23:08:17,Traer informacion estudiante - banner,955,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,955,2016-02-03 23:08:18,Radicar Solicitud Homologacion,955,82008,Variant 2,2,Fluxicon Disco,0,82008_Radicar Solicitud Homologacion_0,complete,955,2016-02-03 23:08:29,Radicar Solicitud Homologacion,955,Variant 2,2,Fluxicon Disco,0,0 days 00:00:11,11.0,11000.0,0.0030555555555555557
Validar solicitud,start,1707,2016-02-03 23:19:36,Validar solicitud,1707,82008,Variant 2,2,Fluxicon Disco,0,82008_Validar solicitud_0,complete,1707,2016-02-04 00:04:55,Validar solicitud,1707,Variant 2,2,Fluxicon Disco,0,0 days 00:45:19,2719.0,2719000.0,0.7552777777777778
Homologacion por grupo de cursos,start,15930,2016-02-11 18:39:20,Homologacion por grupo de cursos,15930,82008,Variant 2,2,Fluxicon Disco,0,82008_Homologacion por grupo de cursos_0,complete,15930,2016-02-11 20:55:40,Homologacion por grupo de cursos,15930,Variant 2,2,Fluxicon Disco,0,0 days 02:16:20,8180.0,8180000.0,2.272222222222222
Traer informacion estudiante - banner,start,955,2016-02-03 23:20:30,Traer informacion estudiante - banner,955,82009,Variant 2,2,Fluxicon Disco,0,82009_Traer informacion estudiante - banner_0,complete,955,2016-02-03 23:20:30,Traer informacion estudiante - banner,955,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,955,2016-02-03 23:20:31,Radicar Solicitud Homologacion,955,82009,Variant 2,2,Fluxicon Disco,0,82009_Radicar Solicitud Homologacion_0,complete,955,2016-02-03 23:20:39,Radicar Solicitud Homologacion,955,Variant 2,2,Fluxicon Disco,0,0 days 00:00:08,8.0,8000.0,0.0022222222222222222
Validar solicitud,start,1707,2016-02-03 23:28:42,Validar solicitud,1707,82009,Variant 2,2,Fluxicon Disco,0,82009_Validar solicitud_0,complete,1707,2016-02-04 00:13:51,Validar solicitud,1707,Variant 2,2,Fluxicon Disco,0,0 days 00:45:09,2709.0,2709000.0,0.7525
Homologacion por grupo de cursos,start,15930,2016-02-11 18:37:42,Homologacion por grupo de cursos,15930,82009,Variant 2,2,Fluxicon Disco,0,82009_Homologacion por grupo de cursos_0,complete,15930,2016-02-11 20:51:10,Homologacion por grupo de cursos,15930,Variant 2,2,Fluxicon Disco,0,0 days 02:13:28,8008.0,8008000.0,2.2244444444444444
Traer informacion estudiante - banner,start,18289,2016-02-04 02:15:40,Traer informacion estudiante - banner,18289,82054,Variant 2,2,Fluxicon Disco,0,82054_Traer informacion estudiante - banner_0,complete,18289,2016-02-04 02:15:40,Traer informacion estudiante - banner,18289,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,18289,2016-02-04 02:15:41,Radicar Solicitud Homologacion,18289,82054,Variant 2,2,Fluxicon Disco,0,82054_Radicar Solicitud Homologacion_0,complete,18289,2016-02-04 02:15:41,Radicar Solicitud Homologacion,18289,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Validar solicitud,start,22475,2016-02-04 02:34:06,Validar solicitud,22475,82054,Variant 2,2,Fluxicon Disco,0,82054_Validar solicitud_0,complete,22475,2016-02-04 02:48:23,Validar solicitud,22475,Variant 2,2,Fluxicon Disco,0,0 days 00:14:17,857.0,857000.0,0.23805555555555555
Homologacion por grupo de cursos,start,1343,2016-02-05 23:17:06,Homologacion por grupo de cursos,1343,82054,Variant 2,2,Fluxicon Disco,0,82054_Homologacion por grupo de cursos_0,complete,1343,2016-02-05 23:50:08,Homologacion por grupo de cursos,1343,Variant 2,2,Fluxicon Disco,0,0 days 00:33:02,1982.0,1982000.0,0.5505555555555556
Traer informacion estudiante - banner,start,16695,2016-02-04 03:31:58,Traer informacion estudiante - banner,16695,82101,Variant 2,2,Fluxicon Disco,0,82101_Traer informacion estudiante - banner_0,complete,16695,2016-02-04 03:31:58,Traer informacion estudiante - banner,16695,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,16695,2016-02-04 03:32:03,Radicar Solicitud Homologacion,16695,82101,Variant 2,2,Fluxicon Disco,0,82101_Radicar Solicitud Homologacion_0,complete,16695,2016-02-04 03:33:00,Radicar Solicitud Homologacion,16695,Variant 2,2,Fluxicon Disco,0,0 days 00:00:57,57.0,57000.0,0.015833333333333335
Validar solicitud,start,659,2016-02-04 15:57:57,Validar solicitud,659,82101,Variant 2,2,Fluxicon Disco,0,82101_Validar solicitud_0,complete,659,2016-02-04 16:05:49,Validar solicitud,659,Variant 2,2,Fluxicon Disco,0,0 days 00:07:52,472.0,472000.0,0.13111111111111112
Homologacion por grupo de cursos,start,1422,2016-02-05 15:50:37,Homologacion por grupo de cursos,1422,82101,Variant 2,2,Fluxicon Disco,0,82101_Homologacion por grupo de cursos_0,complete,1422,2016-02-05 15:51:10,Homologacion por grupo de cursos,1422,Variant 2,2,Fluxicon Disco,0,0 days 00:00:33,33.0,33000.0,0.009166666666666667
Traer informacion estudiante - banner,start,528,2016-02-04 03:55:28,Traer informacion estudiante - banner,528,82102,Variant 2,2,Fluxicon Disco,0,82102_Traer informacion estudiante - banner_0,complete,528,2016-02-04 03:55:28,Traer informacion estudiante - banner,528,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,528,2016-02-04 03:55:29,Radicar Solicitud Homologacion,528,82102,Variant 2,2,Fluxicon Disco,0,82102_Radicar Solicitud Homologacion_0,complete,528,2016-02-04 03:55:29,Radicar Solicitud Homologacion,528,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Validar solicitud,start,716,2016-02-04 05:18:54,Validar solicitud,716,82102,Variant 2,2,Fluxicon Disco,0,82102_Validar solicitud_0,complete,716,2016-02-04 05:46:17,Validar solicitud,716,Variant 2,2,Fluxicon Disco,0,0 days 00:27:23,1643.0,1643000.0,0.4563888888888889
Homologacion por grupo de cursos,start,7394,2016-02-09 18:23:47,Homologacion por grupo de cursos,7394,82102,Variant 2,2,Fluxicon Disco,0,82102_Homologacion por grupo de cursos_0,complete,7394,2016-02-09 19:52:30,Homologacion por grupo de cursos,7394,Variant 2,2,Fluxicon Disco,0,0 days 01:28:43,5323.0,5323000.0,1.478611111111111
Traer informacion estudiante - banner,start,6186,2016-02-04 01:39:02,Traer informacion estudiante - banner,6186,82151,Variant 1,1,Fluxicon Disco,0,82151_Traer informacion estudiante - banner_0,complete,6186,2016-02-04 01:39:02,Traer informacion estudiante - banner,6186,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,6186,2016-02-04 01:39:07,Radicar Solicitud Homologacion,6186,82151,Variant 1,1,Fluxicon Disco,0,82151_Radicar Solicitud Homologacion_0,complete,6186,2016-02-04 01:39:07,Radicar Solicitud Homologacion,6186,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Cancelar Solicitud,start,22404,2016-02-04 01:55:20,Cancelar Solicitud,22404,82151,Variant 1,1,Fluxicon Disco,0,82151_Cancelar Solicitud_0,complete,22404,2016-02-04 02:45:05,Cancelar Solicitud,22404,Variant 1,1,Fluxicon Disco,0,0 days 00:49:45,2985.0,2985000.0,0.8291666666666667
Notificacion estudiante cancelacion soli,start,22404,2016-02-12 16:45:53,Notificacion estudiante cancelacion soli,22404,82151,Variant 1,1,Fluxicon Disco,0,82151_Notificacion estudiante cancelacion soli_0,complete,22404,2016-02-12 16:45:53,Notificacion estudiante cancelacion soli,22404,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Traer informacion estudiante - banner,start,8916,2016-02-04 06:20:38,Traer informacion estudiante - banner,8916,82251,Variant 9,9,Fluxicon Disco,0,82251_Traer informacion estudiante - banner_0,complete,8916,2016-02-04 06:20:38,Traer informacion estudiante - banner,8916,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,8916,2016-02-04 06:20:41,Radicar Solicitud Homologacion,8916,82251,Variant 9,9,Fluxicon Disco,0,82251_Radicar Solicitud Homologacion_0,complete,8916,2016-02-04 06:20:41,Radicar Solicitud Homologacion,8916,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Validar solicitud,start,669,2016-02-04 06:28:26,Validar solicitud,669,82251,Variant 9,9,Fluxicon Disco,0,82251_Validar solicitud_0,complete,669,2016-02-04 06:38:22,Validar solicitud,669,Variant 9,9,Fluxicon Disco,0,0 days 00:09:56,596.0,596000.0,0.16555555555555557
Cancelar Solicitud,start,8916,2016-02-04 06:28:26,Cancelar Solicitud,8916,82251,Variant 9,9,Fluxicon Disco,0,82251_Cancelar Solicitud_0,complete,8916,2016-02-04 07:07:51,Cancelar Solicitud,8916,Variant 9,9,Fluxicon Disco,0,0 days 00:39:25,2365.0,2365000.0,0.6569444444444444
Notificacion estudiante cancelacion soli,start,8916,2016-02-11 00:25:56,Notificacion estudiante cancelacion soli,8916,82251,Variant 9,9,Fluxicon Disco,0,82251_Notificacion estudiante cancelacion soli_0,complete,8916,2016-02-11 00:25:56,Notificacion estudiante cancelacion soli,8916,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Traer informacion estudiante - banner,start,8186,2016-02-04 07:55:23,Traer informacion estudiante - banner,8186,82301,Variant 43,43,Fluxicon Disco,0,82301_Traer informacion estudiante - banner_0,complete,8186,2016-02-04 07:55:23,Traer informacion estudiante - banner,8186,Variant 43,43,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,8186,2016-02-04 07:55:26,Radicar Solicitud Homologacion,8186,82301,Variant 43,43,Fluxicon Disco,0,82301_Radicar Solicitud Homologacion_0,complete,8186,2016-02-04 08:07:46,Radicar Solicitud Homologacion,8186,Variant 43,43,Fluxicon Disco,0,0 days 00:12:20,740.0,740000.0,0.20555555555555555
Recepcion de documentos,start,26789,2016-02-05 19:25:26,Recepcion de documentos,26789,82301,Variant 43,43,Fluxicon Disco,0,82301_Recepcion de documentos_0,complete,26789,2016-02-06 07:33:26,Recepcion de documentos,26789,Variant 43,43,Fluxicon Disco,0,0 days 12:08:00,43680.0,43680000.0,12.133333333333333
Homologacion por grupo de cursos,start,1007,2016-02-05 19:25:27,Homologacion por grupo de cursos,1007,82301,Variant 43,43,Fluxicon Disco,0,82301_Homologacion por grupo de cursos_0,complete,1007,2016-02-06 07:42:52,Homologacion por grupo de cursos,1007,Variant 43,43,Fluxicon Disco,0,0 days 12:17:25,44245.0,44245000.0,12.290277777777778
Validar solicitud,start,387,2016-02-05 21:20:17,Validar solicitud,387,82301,Variant 43,43,Fluxicon Disco,0,82301_Validar solicitud_0,complete,387,2016-02-05 21:20:17,Validar solicitud,387,Variant 43,43,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Traer informacion estudiante - banner,start,8528,2016-02-04 14:47:27,Traer informacion estudiante - banner,8528,82503,Variant 1,1,Fluxicon Disco,0,82503_Traer informacion estudiante - banner_0,complete,8528,2016-02-04 14:47:27,Traer informacion estudiante - banner,8528,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,8528,2016-02-04 14:47:30,Radicar Solicitud Homologacion,8528,82503,Variant 1,1,Fluxicon Disco,0,82503_Radicar Solicitud Homologacion_0,complete,8528,2016-02-04 14:47:36,Radicar Solicitud Homologacion,8528,Variant 1,1,Fluxicon Disco,0,0 days 00:00:06,6.0,6000.0,0.0016666666666666668
