Activity,lifecycle:transition_start,org:resource_start,Start Timestamp,Complete Timestamp,Resource,Case ID,case:variant_start,case:variant-index_start,case:creator_start,event_index_start,EventID,lifecycle:transition_complete,org:resource_complete,Unnamed: 14,Activity_complete,Resource_complete,case:variant_complete,case:variant-index_complete,case:creator_complete,event_index_complete,duration,duration_seconds,duration_ms,duration_hours,Activity_start
Notificacion estudiante cancelacion soli,start,8916,2016-02-04 04:15:31,2016-02-04 04:15:31,8916,81201,Variant 22,22,Fluxicon Disco,0,81201_Notificacion estudiante cancelacion soli_0,complete,8916,,Notificacion estudiante cancelacion soli,8916,Variant 22,22,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Cancelar Solicitud,start,8916,2016-02-04 06:15:12,2016-02-04 06:15:12,8916,81201,Variant 22,22,Fluxicon Disco,0,81201_Cancelar Solicitud_0,complete,8916,,Cancelar Solicitud,8916,Variant 22,22,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Cancelar Solicitud
Traer informacion estudiante - banner,start,4867,2016-02-02 10:30:08,2016-02-02 10:30:08,4867,81301,Variant 9,9,Fluxicon Disco,0,81301_Traer informacion estudiante - banner_0,complete,4867,,Traer informacion estudiante - banner,4867,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,4867,2016-02-02 10:30:12,2016-02-02 10:30:12,4867,81301,Variant 9,9,Fluxicon Disco,0,81301_Radicar Solicitud Homologacion_0,complete,4867,,Radicar Solicitud Homologacion,4867,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Validar solicitud,start,22475,2016-02-02 10:38:03,2016-02-02 10:49:59,22475,81301,Variant 9,9,Fluxicon Disco,0,81301_Validar solicitud_0,complete,22475,,Validar solicitud,22475,Variant 9,9,Fluxicon Disco,0,0 days 00:11:56,716,716000,0.198888888888889,Validar solicitud
Cancelar Solicitud,start,669,2016-02-02 10:38:03,2016-02-02 11:10:03,669,81301,Variant 9,9,Fluxicon Disco,0,81301_Cancelar Solicitud_0,complete,669,,Cancelar Solicitud,669,Variant 9,9,Fluxicon Disco,0,0 days 00:32:00,1920,1920000,0.533333333333333,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,669,2016-02-08 14:22:23,2016-02-08 14:22:23,669,81301,Variant 9,9,Fluxicon Disco,0,81301_Notificacion estudiante cancelacion soli_0,complete,669,,Notificacion estudiante cancelacion soli,669,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Homologacion por grupo de cursos,start,1007,2016-02-03 15:03:14,2016-02-03 16:11:05,1007,81801,Variant 15,15,Fluxicon Disco,0,81801_Homologacion por grupo de cursos_0,complete,1007,,Homologacion por grupo de cursos,1007,Variant 15,15,Fluxicon Disco,0,0 days 01:07:51,4071,4071000,1.13083333333333,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,8997,2016-02-03 16:13:10,2016-02-03 16:13:10,8997,81801,Variant 15,15,Fluxicon Disco,0,81801_Traer informacion estudiante - banner_0,complete,8997,,Traer informacion estudiante - banner,8997,Variant 15,15,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:13:17,2016-02-03 16:13:57,8997,81801,Variant 15,15,Fluxicon Disco,0,81801_Radicar Solicitud Homologacion_0,complete,8997,,Radicar Solicitud Homologacion,8997,Variant 15,15,Fluxicon Disco,0,0 days 00:00:40,40,40000,0.0111111111111111,Radicar Solicitud Homologacion
Validar solicitud,start,19019,2016-02-03 16:54:00,2016-02-03 16:54:00,19019,81801,Variant 15,15,Fluxicon Disco,0,81801_Validar solicitud_0,complete,19019,,Validar solicitud,19019,Variant 15,15,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Validar solicitud
Traer informacion estudiante - banner,start,8997,2016-02-03 16:22:13,2016-02-03 16:22:13,8997,81802,Variant 2,2,Fluxicon Disco,0,81802_Traer informacion estudiante - banner_0,complete,8997,,Traer informacion estudiante - banner,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:22:14,2016-02-03 16:22:19,8997,81802,Variant 2,2,Fluxicon Disco,0,81802_Radicar Solicitud Homologacion_0,complete,8997,,Radicar Solicitud Homologacion,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:05,5,5000,0.0013888888888888,Radicar Solicitud Homologacion
Validar solicitud,start,387,2016-02-03 16:27:40,2016-02-03 16:29:03,387,81802,Variant 2,2,Fluxicon Disco,0,81802_Validar solicitud_0,complete,387,,Validar solicitud,387,Variant 2,2,Fluxicon Disco,0,0 days 00:01:23,83,83000,0.0230555555555556,Validar solicitud
Homologacion por grupo de cursos,start,1007,2016-02-03 17:51:35,2016-02-04 02:39:09,1007,81802,Variant 2,2,Fluxicon Disco,0,81802_Homologacion por grupo de cursos_0,complete,1007,,Homologacion por grupo de cursos,1007,Variant 2,2,Fluxicon Disco,0,0 days 08:47:34,31654,31654000,8.79277777777778,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,8997,2016-02-03 16:29:30,2016-02-03 16:29:30,8997,81803,Variant 2,2,Fluxicon Disco,0,81803_Traer informacion estudiante - banner_0,complete,8997,,Traer informacion estudiante - banner,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:29:31,2016-02-03 16:29:38,8997,81803,Variant 2,2,Fluxicon Disco,0,81803_Radicar Solicitud Homologacion_0,complete,8997,,Radicar Solicitud Homologacion,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:07,7,7000,0.0019444444444444,Radicar Solicitud Homologacion
Validar solicitud,start,387,2016-02-03 16:36:58,2016-02-03 16:38:13,387,81803,Variant 2,2,Fluxicon Disco,0,81803_Validar solicitud_0,complete,387,,Validar solicitud,387,Variant 2,2,Fluxicon Disco,0,0 days 00:01:15,75,75000,0.0208333333333333,Validar solicitud
Homologacion por grupo de cursos,start,22491,2016-02-03 17:52:29,2016-02-03 20:57:36,22491,81803,Variant 2,2,Fluxicon Disco,0,81803_Homologacion por grupo de cursos_0,complete,22491,,Homologacion por grupo de cursos,22491,Variant 2,2,Fluxicon Disco,0,0 days 03:05:07,11107,11107000,3.08527777777778,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,8997,2016-02-03 16:39:44,2016-02-03 16:39:44,8997,81804,Variant 2,2,Fluxicon Disco,0,81804_Traer informacion estudiante - banner_0,complete,8997,,Traer informacion estudiante - banner,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:39:45,2016-02-03 16:39:54,8997,81804,Variant 2,2,Fluxicon Disco,0,81804_Radicar Solicitud Homologacion_0,complete,8997,,Radicar Solicitud Homologacion,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:09,9,9000,0.0025,Radicar Solicitud Homologacion
Validar solicitud,start,387,2016-02-03 16:49:16,2016-02-03 16:50:19,387,81804,Variant 2,2,Fluxicon Disco,0,81804_Validar solicitud_0,complete,387,,Validar solicitud,387,Variant 2,2,Fluxicon Disco,0,0 days 00:01:03,63,63000,0.0175,Validar solicitud
Homologacion por grupo de cursos,start,1007,2016-02-03 17:52:59,2016-02-03 18:12:02,1007,81804,Variant 2,2,Fluxicon Disco,0,81804_Homologacion por grupo de cursos_0,complete,1007,,Homologacion por grupo de cursos,1007,Variant 2,2,Fluxicon Disco,0,0 days 00:19:03,1143,1143000,0.3175,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,8997,2016-02-03 16:54:27,2016-02-03 16:54:27,8997,81805,Variant 2,2,Fluxicon Disco,0,81805_Traer informacion estudiante - banner_0,complete,8997,,Traer informacion estudiante - banner,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:54:28,2016-02-03 16:54:32,8997,81805,Variant 2,2,Fluxicon Disco,0,81805_Radicar Solicitud Homologacion_0,complete,8997,,Radicar Solicitud Homologacion,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:04,4,4000,0.0011111111111111,Radicar Solicitud Homologacion
Validar solicitud,start,387,2016-02-03 16:58:47,2016-02-03 16:59:42,387,81805,Variant 2,2,Fluxicon Disco,0,81805_Validar solicitud_0,complete,387,,Validar solicitud,387,Variant 2,2,Fluxicon Disco,0,0 days 00:00:55,55,55000,0.0152777777777778,Validar solicitud
Homologacion por grupo de cursos,start,1007,2016-02-03 17:54:40,2016-02-03 18:13:43,1007,81805,Variant 2,2,Fluxicon Disco,0,81805_Homologacion por grupo de cursos_0,complete,1007,,Homologacion por grupo de cursos,1007,Variant 2,2,Fluxicon Disco,0,0 days 00:19:03,1143,1143000,0.3175,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,955,2016-02-03 14:24:22,2016-02-03 14:24:22,955,81851,Variant 1,1,Fluxicon Disco,0,81851_Traer informacion estudiante - banner_0,complete,955,,Traer informacion estudiante - banner,955,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,955,2016-02-03 14:24:26,2016-02-03 14:30:27,955,81851,Variant 1,1,Fluxicon Disco,0,81851_Radicar Solicitud Homologacion_0,complete,955,,Radicar Solicitud Homologacion,955,Variant 1,1,Fluxicon Disco,0,0 days 00:06:01,361,361000,0.100277777777778,Radicar Solicitud Homologacion
Cancelar Solicitud,start,22475,2016-02-03 23:01:07,2016-02-03 23:17:37,22475,81851,Variant 1,1,Fluxicon Disco,0,81851_Cancelar Solicitud_0,complete,22475,,Cancelar Solicitud,22475,Variant 1,1,Fluxicon Disco,0,0 days 00:16:30,990,990000,0.275,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,22475,2016-02-05 23:31:27,2016-02-05 23:31:27,22475,81851,Variant 1,1,Fluxicon Disco,0,81851_Notificacion estudiante cancelacion soli_0,complete,22475,,Notificacion estudiante cancelacion soli,22475,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,8443,2016-02-03 21:22:37,2016-02-03 21:22:37,8443,81951,Variant 1,1,Fluxicon Disco,0,81951_Traer informacion estudiante - banner_0,complete,8443,,Traer informacion estudiante - banner,8443,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,8443,2016-02-03 21:22:41,2016-02-03 21:50:18,8443,81951,Variant 1,1,Fluxicon Disco,0,81951_Radicar Solicitud Homologacion_0,complete,8443,,Radicar Solicitud Homologacion,8443,Variant 1,1,Fluxicon Disco,0,0 days 00:27:37,1657,1657000,0.460277777777778,Radicar Solicitud Homologacion
Cancelar Solicitud,start,8443,2016-02-09 03:52:53,2016-02-09 05:18:13,8443,81951,Variant 1,1,Fluxicon Disco,0,81951_Cancelar Solicitud_0,complete,8443,,Cancelar Solicitud,8443,Variant 1,1,Fluxicon Disco,0,0 days 01:25:20,5120,5120000,1.42222222222222,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,8443,2016-02-23 22:20:40,2016-02-23 22:20:40,8443,81951,Variant 1,1,Fluxicon Disco,0,81951_Notificacion estudiante cancelacion soli_0,complete,8443,,Notificacion estudiante cancelacion soli,8443,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,955,2016-02-03 23:08:17,2016-02-03 23:08:17,955,82008,Variant 2,2,Fluxicon Disco,0,82008_Traer informacion estudiante - banner_0,complete,955,,Traer informacion estudiante - banner,955,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,955,2016-02-03 23:08:18,2016-02-03 23:08:29,955,82008,Variant 2,2,Fluxicon Disco,0,82008_Radicar Solicitud Homologacion_0,complete,955,,Radicar Solicitud Homologacion,955,Variant 2,2,Fluxicon Disco,0,0 days 00:00:11,11,11000,0.0030555555555555,Radicar Solicitud Homologacion
Validar solicitud,start,1707,2016-02-03 23:19:36,2016-02-04 00:04:55,1707,82008,Variant 2,2,Fluxicon Disco,0,82008_Validar solicitud_0,complete,1707,,Validar solicitud,1707,Variant 2,2,Fluxicon Disco,0,0 days 00:45:19,2719,2719000,0.755277777777778,Validar solicitud
Homologacion por grupo de cursos,start,15930,2016-02-11 18:39:20,2016-02-11 20:55:40,15930,82008,Variant 2,2,Fluxicon Disco,0,82008_Homologacion por grupo de cursos_0,complete,15930,,Homologacion por grupo de cursos,15930,Variant 2,2,Fluxicon Disco,0,0 days 02:16:20,8180,8180000,2.27222222222222,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,955,2016-02-03 23:20:30,2016-02-03 23:20:30,955,82009,Variant 2,2,Fluxicon Disco,0,82009_Traer informacion estudiante - banner_0,complete,955,,Traer informacion estudiante - banner,955,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,955,2016-02-03 23:20:31,2016-02-03 23:20:39,955,82009,Variant 2,2,Fluxicon Disco,0,82009_Radicar Solicitud Homologacion_0,complete,955,,Radicar Solicitud Homologacion,955,Variant 2,2,Fluxicon Disco,0,0 days 00:00:08,8,8000,0.0022222222222222,Radicar Solicitud Homologacion
Validar solicitud,start,1707,2016-02-03 23:28:42,2016-02-04 00:13:51,1707,82009,Variant 2,2,Fluxicon Disco,0,82009_Validar solicitud_0,complete,1707,,Validar solicitud,1707,Variant 2,2,Fluxicon Disco,0,0 days 00:45:09,2709,2709000,0.7525,Validar solicitud
Homologacion por grupo de cursos,start,15930,2016-02-11 18:37:42,2016-02-11 20:51:10,15930,82009,Variant 2,2,Fluxicon Disco,0,82009_Homologacion por grupo de cursos_0,complete,15930,,Homologacion por grupo de cursos,15930,Variant 2,2,Fluxicon Disco,0,0 days 02:13:28,8008,8008000,2.22444444444444,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,18289,2016-02-04 02:15:40,2016-02-04 02:15:40,18289,82054,Variant 2,2,Fluxicon Disco,0,82054_Traer informacion estudiante - banner_0,complete,18289,,Traer informacion estudiante - banner,18289,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,18289,2016-02-04 02:15:41,2016-02-04 02:15:41,18289,82054,Variant 2,2,Fluxicon Disco,0,82054_Radicar Solicitud Homologacion_0,complete,18289,,Radicar Solicitud Homologacion,18289,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Validar solicitud,start,22475,2016-02-04 02:34:06,2016-02-04 02:48:23,22475,82054,Variant 2,2,Fluxicon Disco,0,82054_Validar solicitud_0,complete,22475,,Validar solicitud,22475,Variant 2,2,Fluxicon Disco,0,0 days 00:14:17,857,857000,0.238055555555556,Validar solicitud
Homologacion por grupo de cursos,start,1343,2016-02-05 23:17:06,2016-02-05 23:50:08,1343,82054,Variant 2,2,Fluxicon Disco,0,82054_Homologacion por grupo de cursos_0,complete,1343,,Homologacion por grupo de cursos,1343,Variant 2,2,Fluxicon Disco,0,0 days 00:33:02,1982,1982000,0.550555555555556,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,16695,2016-02-04 03:31:58,2016-02-04 03:31:58,16695,82101,Variant 2,2,Fluxicon Disco,0,82101_Traer informacion estudiante - banner_0,complete,16695,,Traer informacion estudiante - banner,16695,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,16695,2016-02-04 03:32:03,2016-02-04 03:33:00,16695,82101,Variant 2,2,Fluxicon Disco,0,82101_Radicar Solicitud Homologacion_0,complete,16695,,Radicar Solicitud Homologacion,16695,Variant 2,2,Fluxicon Disco,0,0 days 00:00:57,57,57000,0.0158333333333333,Radicar Solicitud Homologacion
Validar solicitud,start,659,2016-02-04 15:57:57,2016-02-04 16:05:49,659,82101,Variant 2,2,Fluxicon Disco,0,82101_Validar solicitud_0,complete,659,,Validar solicitud,659,Variant 2,2,Fluxicon Disco,0,0 days 00:07:52,472,472000,0.131111111111111,Validar solicitud
Homologacion por grupo de cursos,start,1422,2016-02-05 15:50:37,2016-02-05 15:51:10,1422,82101,Variant 2,2,Fluxicon Disco,0,82101_Homologacion por grupo de cursos_0,complete,1422,,Homologacion por grupo de cursos,1422,Variant 2,2,Fluxicon Disco,0,0 days 00:00:33,33,33000,0.0091666666666666,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,528,2016-02-04 03:55:28,2016-02-04 03:55:28,528,82102,Variant 2,2,Fluxicon Disco,0,82102_Traer informacion estudiante - banner_0,complete,528,,Traer informacion estudiante - banner,528,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,528,2016-02-04 03:55:29,2016-02-04 03:55:29,528,82102,Variant 2,2,Fluxicon Disco,0,82102_Radicar Solicitud Homologacion_0,complete,528,,Radicar Solicitud Homologacion,528,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Validar solicitud,start,716,2016-02-04 05:18:54,2016-02-04 05:46:17,716,82102,Variant 2,2,Fluxicon Disco,0,82102_Validar solicitud_0,complete,716,,Validar solicitud,716,Variant 2,2,Fluxicon Disco,0,0 days 00:27:23,1643,1643000,0.456388888888889,Validar solicitud
Homologacion por grupo de cursos,start,7394,2016-02-09 18:23:47,2016-02-09 19:52:30,7394,82102,Variant 2,2,Fluxicon Disco,0,82102_Homologacion por grupo de cursos_0,complete,7394,,Homologacion por grupo de cursos,7394,Variant 2,2,Fluxicon Disco,0,0 days 01:28:43,5323,5323000,1.47861111111111,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,6186,2016-02-04 01:39:02,2016-02-04 01:39:02,6186,82151,Variant 1,1,Fluxicon Disco,0,82151_Traer informacion estudiante - banner_0,complete,6186,,Traer informacion estudiante - banner,6186,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,6186,2016-02-04 01:39:07,2016-02-04 01:39:07,6186,82151,Variant 1,1,Fluxicon Disco,0,82151_Radicar Solicitud Homologacion_0,complete,6186,,Radicar Solicitud Homologacion,6186,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Cancelar Solicitud,start,22404,2016-02-04 01:55:20,2016-02-04 02:45:05,22404,82151,Variant 1,1,Fluxicon Disco,0,82151_Cancelar Solicitud_0,complete,22404,,Cancelar Solicitud,22404,Variant 1,1,Fluxicon Disco,0,0 days 00:49:45,2985,2985000,0.829166666666667,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,22404,2016-02-12 16:45:53,2016-02-12 16:45:53,22404,82151,Variant 1,1,Fluxicon Disco,0,82151_Notificacion estudiante cancelacion soli_0,complete,22404,,Notificacion estudiante cancelacion soli,22404,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,8916,2016-02-04 06:20:38,2016-02-04 06:20:38,8916,82251,Variant 9,9,Fluxicon Disco,0,82251_Traer informacion estudiante - banner_0,complete,8916,,Traer informacion estudiante - banner,8916,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,8916,2016-02-04 06:20:41,2016-02-04 06:20:41,8916,82251,Variant 9,9,Fluxicon Disco,0,82251_Radicar Solicitud Homologacion_0,complete,8916,,Radicar Solicitud Homologacion,8916,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Validar solicitud,start,669,2016-02-04 06:28:26,2016-02-04 06:38:22,669,82251,Variant 9,9,Fluxicon Disco,0,82251_Validar solicitud_0,complete,669,,Validar solicitud,669,Variant 9,9,Fluxicon Disco,0,0 days 00:09:56,596,596000,0.165555555555556,Validar solicitud
Cancelar Solicitud,start,8916,2016-02-04 06:28:26,2016-02-04 07:07:51,8916,82251,Variant 9,9,Fluxicon Disco,0,82251_Cancelar Solicitud_0,complete,8916,,Cancelar Solicitud,8916,Variant 9,9,Fluxicon Disco,0,0 days 00:39:25,2365,2365000,0.656944444444444,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,8916,2016-02-11 00:25:56,2016-02-11 00:25:56,8916,82251,Variant 9,9,Fluxicon Disco,0,82251_Notificacion estudiante cancelacion soli_0,complete,8916,,Notificacion estudiante cancelacion soli,8916,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,8186,2016-02-04 07:55:23,2016-02-04 07:55:23,8186,82301,Variant 43,43,Fluxicon Disco,0,82301_Traer informacion estudiante - banner_0,complete,8186,,Traer informacion estudiante - banner,8186,Variant 43,43,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,8186,2016-02-04 07:55:26,2016-02-04 08:07:46,8186,82301,Variant 43,43,Fluxicon Disco,0,82301_Radicar Solicitud Homologacion_0,complete,8186,,Radicar Solicitud Homologacion,8186,Variant 43,43,Fluxicon Disco,0,0 days 00:12:20,740,740000,0.205555555555556,Radicar Solicitud Homologacion
Recepcion de documentos,start,26789,2016-02-05 19:25:26,2016-02-06 07:33:26,26789,82301,Variant 43,43,Fluxicon Disco,0,82301_Recepcion de documentos_0,complete,26789,,Recepcion de documentos,26789,Variant 43,43,Fluxicon Disco,0,0 days 12:08:00,43680,43680000,12.1333333333333,Recepcion de documentos
Homologacion por grupo de cursos,start,1007,2016-02-05 19:25:27,2016-02-06 07:42:52,1007,82301,Variant 43,43,Fluxicon Disco,0,82301_Homologacion por grupo de cursos_0,complete,1007,,Homologacion por grupo de cursos,1007,Variant 43,43,Fluxicon Disco,0,0 days 12:17:25,44245,44245000,12.2902777777778,Homologacion por grupo de cursos
Validar solicitud,start,387,2016-02-05 21:20:17,2016-02-05 21:20:17,387,82301,Variant 43,43,Fluxicon Disco,0,82301_Validar solicitud_0,complete,387,,Validar solicitud,387,Variant 43,43,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Validar solicitud
Traer informacion estudiante - banner,start,8528,2016-02-04 14:47:27,2016-02-04 14:47:27,8528,82503,Variant 1,1,Fluxicon Disco,0,82503_Traer informacion estudiante - banner_0,complete,8528,,Traer informacion estudiante - banner,8528,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,8528,2016-02-04 14:47:30,2016-02-04 14:47:36,8528,82503,Variant 1,1,Fluxicon Disco,0,82503_Radicar Solicitud Homologacion_0,complete,8528,,Radicar Solicitud Homologacion,8528,Variant 1,1,Fluxicon Disco,0,0 days 00:00:06,6,6000,0.0016666666666666,Radicar Solicitud Homologacion
Cancelar Solicitud,start,8528,2016-02-04 15:06:17,2016-02-04 15:06:28,8528,82503,Variant 1,1,Fluxicon Disco,0,82503_Cancelar Solicitud_0,complete,8528,,Cancelar Solicitud,8528,Variant 1,1,Fluxicon Disco,0,0 days 00:00:11,11,11000,0.0030555555555555,Cancelar Solicitud
